"Root Android™ without PC",books_and_reference,"2.0","Apr 04 2016","Android 4.0.3+",5.9 MB,"QuillApps",https://download.apkpure.com/c/APK/1093/016b6bfd95661681?fn=Root%20Android%E2%84%A2%20without%20PC_v2.0_apkpure.com.apk&k=f40f63b4334dcb61400268bc26c3e8605724c38a&p=com.quillapps.root.android.without.computer&c=1%7CBOOKS_AND_REFERENCE
"Google Play Books",books_and_reference,"3.8.15","Apr 21 2016","Android 4.0+",10.0 MB,"Google Inc.",https://download.apkpure.com/c/APK/1216/018b515dbdbcaeae?fn=Google%20Play%20Books_v3.8.15_apkpure.com.apk&k=fa5fed6ae7988e09c7b5b9664243d96b5724c38a&p=com.google.android.apps.books&c=1%7CBOOKS_AND_REFERENCE
"Moon+ Reader",books_and_reference,"3.5.0","Apr 20 2016","Android 2.3.2+",9.6 MB,"Moon+",https://download.apkpure.com/c/APK/1207/018877af1d7fc03e?fn=Moon%20Reader_v3.5.0_apkpure.com.apk&k=0610b40b8c8ba615611e3062530836515724c38a&p=com.flyersoft.moonreader&c=1%7CBOOKS_AND_REFERENCE
"Al-Quran (Free)",books_and_reference,"3.0.7","Dec 26 2015","Android 4.0+",6.0 MB,"ISYSWAY",https://download.apkpure.com/c/APK/723/012d3bd02b342807?fn=Al%20Quran%20Free_v3.0.7_apkpure.com.apk&k=e1c71ca77f94b93e30a20c33498a12e85724c38a&p=com.isysway.free.alquran&c=1%7CBOOKS_AND_REFERENCE
"English Arabic Dictionary",books_and_reference,"4.3.6","Apr 21 2016","Android 4.0.3+",4.5 MB,"Xung Le",null
"Kingo Pro Root",books_and_reference,"1.0","Dec 09 2015","Android 2.3.2+",2.0 MB,"My Dev",https://download.apkpure.com/c/APK/542/01209804df240a7a?fn=Kingo%20Pro%20Root_v1.0_apkpure.com.apk&k=0d56e5b2ad3919631f0e9b7b9e9900925724c38a&p=net.smart.kingoproroot&c=1%7CBOOKS_AND_REFERENCE
"Frama Root Pro",books_and_reference,"1.0","Dec 10 2015","Android 2.3.2+",2.2 MB,"My Dev",https://download.apkpure.com/c/APK/559/0121e19201f61da6?fn=Frama%20Root%20Pro_v1.0_apkpure.com.apk&k=eda0a25f101f37eccbef3b2d9ca552125724c3f7&p=net.smart.framaproroot&c=1%7CBOOKS_AND_REFERENCE
"Quran for Android",books_and_reference,"2.7.0-p1","Jan 25 2016","Android 4.0+",2.2 MB,"quran.com",https://download.apkpure.com/c/APK/622/01312b5c11753700?fn=Quran%20for%20Android_v2.7.0-p1_apkpure.com.apk&k=1235274e6b963fd5805c843a0b273faa5724c3f7&p=com.quran.labs.androidquran&c=1%7CBOOKS_AND_REFERENCE
"French Dictionary - Offline",books_and_reference,"3.0","Feb 25 2016","Android 2.3.4+",25.7 MB,"Livio",https://download.apkpure.com/c/APK/189/f1e8e17dc0fc69?fn=French%20Dictionary%20Offline_v3.0_apkpure.com.apk&k=8c340040c5f25c59443165dbffbd15225724c3f7&p=livio.pack.lang.fr_FR&c=1%7CBOOKS_AND_REFERENCE
"FBReader: Favorite Book Reader",books_and_reference,"2.6.13","Apr 03 2016","Android 3.0+",5.9 MB,"FBReader.ORG Limited",https://download.apkpure.com/c/APK/1094/016aee41b5e2eb95?fn=FBReader%20Favorite%20Book%20Reader_v2.6.13_apkpure.com.apk&k=782e1e8042900e07c5da2230501fd23f5724c3f7&p=org.geometerplus.zlibrary.ui.android&c=1%7CBOOKS_AND_REFERENCE
"Xmod Pro For Coc",books_and_reference,"1.2","Sep 22 2015","Android 2.3.2+",2.8 MB,"KnowApp",https://download.apkpure.com/c/APK/458/0119a5da7f1badb9?fn=Xmod%20Pro%20For%20Coc_v1.2_apkpure.com.apk&k=fae355a55aef794592c134054671d55a5724c3f7&p=com.know.xmodproforcoc&c=1%7CBOOKS_AND_REFERENCE
